id_salario,id_empleado,salario,bono
S6001,EM454,,473.55
S6009,,2852.02,419.5
S6021,,559.86,359.23
S6027,,,65.86
S6034,EM424,,398.34
S6045,EM456,,153.39
S6050,EM483,,202.26
S6051,EM451,,34.18
S6063,,839.99,99.5
S6076,EM467,,201.8
S6077,EM498,,
S6080,EM489,,173.26
S6082,EM500,,132.14
S6084,EM417,,241.52
S6085,EM418,,134.27
S6090,,3453.82,38.49
S6097,EM506,,324.25
S6101,EM505,,125.45
S6107,,2764.97,298.83
S6110,EM485,,52.95
S6112,EM485,,
S6117,EM503,,350.57
S6122,EM500,,126.55
S6041,EM464,2252.95,337.01
S6059,EM437,2094.24,472.22
S6096,EM416,2110.72,311.82
S6105,EM464,1354.51,156.45
S6116,EM500,1858.23,293.79
S6128,EM433,2588.57,336.23
S6105,EM464,1354.51,156.45
S6096,EM416,2110.72,311.82
S6041,EM464,2252.95,337.01
S6128,EM433,2588.57,336.23
S6116,EM500,1858.23,293.79
S6059,EM437,2094.24,472.22
